"","name","team","heightinches","weightpounds"
"92","Dustin_Moseley","ANA",76,190
"93","Ervin_Santana","ANA",74,160
"94","Joe_Saunders","ANA",74,200
"95","Jered_Weaver","ANA",79,205
"96","Chris_Resop","ANA",75,222
"97","Phil_Seibel","ANA",73,195
"98","Justin_Speier","ANA",76,205
"99","Darren_Oliver","ANA",74,220
"100","Hector_Carrasco","ANA",74,220
"101","Scot_Shields","ANA",73,170
"102","Francisco_Rodriguez","ANA",72,185
"103","Greg_Jones","ANA",74,195
"104","Doug_Mirabelli","BOS",73,220
"105","Jason_Varitek","BOS",74,230
"106","George_Kottaras","BOS",72,180
"107","Kevin_Youkilis","BOS",73,220
"108","Dustin_Pedroia","BOS",69,180
"109","Alex_Cora","BOS",72,180
"110","Julio_Lugo","BOS",73,170
"111","Mike_Lowell","BOS",75,210
"112","Wily_Mo_Pe?a","BOS",75,215
"113","J.D._Drew","BOS",73,200
"114","Manny_Ramirez","BOS",72,213
"115","Brandon_Moss","BOS",72,180
"116","David_Murphy","BOS",76,192
"117","Eric_Hinske","BOS",74,235
"118","Coco_Crisp","BOS",72,185
"119","David_Ortiz","BOS",76,230
"120","Curt_Schilling","BOS",77,235
"121","Tim_Wakefield","BOS",74,210
"122","Josh_Beckett","BOS",77,222
"123","Matt_Clement","BOS",75,210
"124","Jonathan_Papelbon","BOS",76,230
"125","Kyle_Snyder","BOS",80,220
"126","Devern_Hansack","BOS",74,180
"127","Jon_Lester","BOS",74,190
"128","Kason_Gabbard","BOS",75,200
"129","Craig_Hansen","BOS",78,210
"130","Hideki_Okajima","BOS",73,194
"131","Craig_Breslow","BOS",73,180
"132","Manny_Delcarmen","BOS",74,190
"133","Brendan_Donnelly","BOS",75,240
"134","Javier_Lopez","BOS",76,200
"135","J.C._Romero","BOS",71,198
"136","Joel_Pineiro","BOS",73,200
"137","Julian_Tavarez","BOS",74,195
"138","Mike_Timlin","BOS",76,210
"139","Nick_DeBarr","BOS",76,220
"140","Victor_Martinez","CLE",74,190
"141","Kelly_Shoppach","CLE",73,210
"142","Ryan_Garko","CLE",74,225
"143","Joe_Inglett","CLE",70,180
"144","Josh_Barfield","CLE",72,185
"145","Hector_Luna","CLE",73,170
"146","Jhonny_Peralta","CLE",73,185
"147","Andy_Marte","CLE",73,185
"148","Ben_Francisco","CLE",73,180
"149","Shin-Soo_Choo","CLE",71,178
"150","Franklin_Gutierrez","CLE",74,175
"151","Grady_Sizemore","CLE",74,200
"152","Jason_Michaels","CLE",72,204
"153","Trot_Nixon","CLE",74,211
"154","David_Dellucci","CLE",71,190
"155","Casey_Blake","CLE",74,210
"156","Travis_Hafner","CLE",75,240
"157","Paul_Byrd","CLE",73,190
"158","Cliff_Lee","CLE",75,190
"159","Jake_Westbrook","CLE",75,185
"160","C.C._Sabathia","CLE",79,290
"161","Jeremy_Sowers","CLE",73,175
"162","Rafael_Perez","CLE",75,185
"163","Brian_Slocum","CLE",76,200
"164","Edward_Mujica","CLE",74,220
"165","Fernando_Cabrera","CLE",76,170
"166","Tom_Mastny","CLE",78,220
"167","Juan_Lara","CLE",74,190
"168","Fausto_Carmona","CLE",76,220
"169","Aaron_Fultz","CLE",72,205
"170","Rafael_Betancourt","CLE",74,200
"171","Roberto_Hernandez","CLE",76,250
"172","Joe_Borowski","CLE",74,225
"173","Matt_Miller","CLE",75,215
"174","Jason_Davis","CLE",78,210
"175","Mike_Piazza","OAK",75,215
"176","Jason_Kendall","OAK",72,195
"177","Adam_Melhuse","OAK",74,200
"178","Nick_Swisher","OAK",72,194
"179","Dan_Johnson","OAK",74,220
"180","Donald_Murphy","OAK",70,180
"181","Mark_Ellis","OAK",71,180
"182","Marco_Scutaro","OAK",70,170
"183","Bobby_Crosby","OAK",75,195
"184","Mark_Kiger","OAK",71,180
"185","Antonio_Perez","OAK",71,170
"186","Eric_Chavez","OAK",73,206
"187","Milton_Bradley","OAK",72,205
"188","Shannon_Stewart","OAK",71,200
"189","Bobby_Kielty","OAK",73,225
"190","Mark_Kotsay","OAK",72,201
"191","Ryan_Goleski","OAK",75,225
"192","Jeremy_Brown","OAK",70,226
"193","Jason_Windsor","OAK",74,233
"194","David_Shafer","OAK",74,180
"195","Joe_Blanton","OAK",75,225
"196","Brad_Halsey","OAK",73,180
"197","Dan_Haren","OAK",77,220
"198","Rich_Harden","OAK",73,180
"199","Joe_Kennedy","OAK",76,237
"200","Esteban_Loaiza","OAK",75,215
"201","Alan_Embree","OAK",74,190
"202","Jay_Witasick","OAK",76,235
"203","Justin_Duchscherer","OAK",75,190
"204","Kiko_Calero","OAK",73,180
"205","Chad_Gaudin","OAK",71,165
"206","Lenny_DiNardo","OAK",76,195
"207","Scott_Dunn","OAK",75,200
"208","Huston_Street","OAK",72,190
"209","Ron_Flores","OAK",71,190
"210","Jay_Marshall","OAK",77,185
"211","Marcus_McBeth","OAK",73,185
"212","Jorge_Posada","NYY",74,205
"213","Wil_Nieves","NYY",71,190
"214","Andy_Phillips","NYY",72,205
"215","Doug_Mientkiewicz","NYY",74,206
"216","Josh_Phelps","NYY",75,220
"217","Miguel_Cairo","NYY",73,208
"218","Robinson_Cano","NYY",72,170
"219","Derek_Jeter","NYY",75,195
"220","Alex_Rodriguez","NYY",75,210
"221","Johnny_Damon","NYY",74,190
"222","Bobby_Abreu","NYY",72,211
"223","Hideki_Matsui","NYY",74,230
"224","Melky_Cabrera","NYY",71,170
"225","Kevin_Thompson","NYY",70,185
"226","Jason_Giambi","NYY",75,230
"227","Mike_Mussina","NYY",74,185
"228","Carl_Pavano","NYY",77,241
"229","Andy_Pettitte","NYY",77,225
"230","Darrell_Rasner","NYY",75,210
"231","Jeff_Karstens","NYY",75,175
"232","Humberto_Sanchez","NYY",78,230
"233","Chien-Ming_Wang","NYY",75,200
"234","Sean_Henn","NYY",76,215
"235","Scott_Proctor","NYY",73,198
"236","Brian_Bruney","NYY",75,226
"237","Chris_Britton","NYY",75,278
"238","T.J._Beam","NYY",79,215
"239","Jose_Veras","NYY",77,230
"240","Kyle_Farnsworth","NYY",76,240
"241","Luis_Vizcaino","NYY",71,184
"242","Mike_Myers","NYY",75,219
"243","Mariano_Rivera","NYY",74,170
"244","Ivan_Rodriguez","DET",69,218
"245","Vance_Wilson","DET",71,190
"246","Sean_Casey","DET",76,225
"247","Chris_Shelton","DET",72,220
"248","Omar_Infante","DET",72,176
"249","Placido_Polanco","DET",70,190
"250","Neifi_Perez","DET",72,197
"251","Carlos_Guillen","DET",73,204
"252","Ramon_Santiago","DET",71,167
"253","Tony_Giarratano","DET",72,180
"254","Brandon_Inge","DET",71,195
"255","Craig_Monroe","DET",73,220
"256","Magglio_Ordo?ez","DET",72,215
"257","Curtis_Granderson","DET",73,185
"258","Brent_Clevlen","DET",74,190
"259","Marcus_Thames","DET",74,205
"260","Gary_Sheffield","DET",72,205
"261","Mike_Rabelo","DET",73,200
"262","Zach_Miner","DET",75,200
"263","Jeremy_Bonderman","DET",74,210
"264","Nate_Robertson","DET",74,215
"265","Justin_Verlander","DET",77,200
"266","Virgil_Vasquez","DET",75,205
"267","Kenny_Rogers","DET",73,211
"268","Mike_Maroth","DET",72,190
"269","Fernando_Rodney","DET",71,208
"270","Chad_Durbin","DET",74,200
"271","Jason_Grilli","DET",77,210
"272","Jose_Mesa","DET",75,232
"273","Todd_Jones","DET",75,230
"274","Joel_Zumaya","DET",75,210
"275","Jordan_Tata","DET",78,220
"276","Andrew_Miller","DET",78,210
"277","Yorman_Bazardo","DET",74,202
"278","Wilfredo_Ledezma","DET",76,212
"279","Roman_Colon","DET",78,225
"280","Edward_Campusano","DET",76,170
"281","Rene_Rivera","SEA",70,190
"282","Kenji_Johjima","SEA",72,200
"283","Richie_Sexson","SEA",80,237
"284","Ben_Broussard","SEA",74,220
"285","Jose_Lopez","SEA",74,170
"286","Jose_Vidro","SEA",71,193
"287","Yuniesky_Betancourt","SEA",70,190
"288","Oswaldo_Navarro","SEA",72,150
"289","Adrian_Beltre","SEA",71,220
"290","Raul_Ibanez","SEA",74,200
"291","Jose_Guillen","SEA",71,190
"292","Jeremy_Reed","SEA",72,185
"293","Willie_Bloomquist","SEA",71,185
"294","Adam_Jones","SEA",74,200
"295","Ichiro_Suzuki","SEA",69,172
"296","Mike_Morse","SEA",76,220
"297","Felix_Hernandez","SEA",75,225
"298","Ryan_Feierabend","SEA",75,190
"299","Sean_White","SEA",76,195
"300","Horacio_Ramirez","SEA",73,219
"301","Cha_Baek","SEA",76,190
"302","Miguel_Batista","SEA",73,197
"303","Jeff_Weaver","SEA",77,200
"304","Jarrod_Washburn","SEA",73,195
"305","George_Sherrill","SEA",72,210
"306","Julio_Mateo","SEA",72,177
"307","J.J._Putz","SEA",77,220
"308","Chris_Reitsma","SEA",77,235
"309","Cesar_Jimenez","SEA",71,180
"310","Eric_O'Flaherty","SEA",74,195
"311","Jon_Huber","SEA",74,195
"312","Jake_Woods","SEA",73,190
"313","Sean_Green","SEA",78,230
"314","Mark_Lowe","SEA",75,190
"315","Josh_Paul","TB",73,200
"316","Dioner_Navarro","TB",70,190
"317","Shawn_Riggans","TB",74,190
"318","Ty_Wigginton","TB",72,200
"319","Brendan_Harris","TB",73,200
"320","Jorge_Cantu","TB",73,184
"321","Ben_Zobrist","TB",75,200
"322","B.J._Upton","TB",75,180
"323","Carl_Crawford","TB",74,219
"324","Rocco_Baldelli","TB",76,187
"325","Greg_Norton","TB",73,200
"326","Elijah_Dukes","TB",74,220
"327","Delmon_Young","TB",75,205
"328","Jonny_Gomes","TB",73,205
"329","Edwin_Jackson","TB",75,190
"330","Scott_Kazmir","TB",72,170
"331","Casey_Fossum","TB",73,160
"332","Jae_Seo","TB",73,215
"333","J.P._Howell","TB",72,175
"334","Tim_Corcoran","TB",74,205
"335","Jason_Hammel","TB",78,200
"336","James_Shields","TB",76,214
"337","Brian_Stokes","TB",73,200
"338","Juan_Salas","TB",74,190
"339","Jeff_Ridgway","TB",75,180
"340","Ruddy_Lugo","TB",70,205
"341","Jae-Kuk_Ryu","TB",75,220
"342","Chad_Orvella","TB",71,190
"343","Dan_Miceli","TB",72,215
"344","Seth_McClung","TB",78,235
"345","Jon_Switzer","TB",75,191
"346","Shawn_Camp","TB",73,200
"347","Scott_Dohmann","TB",73,181
"348","Jason_LaRue","KC",71,200
"349","John_Buck","KC",75,210
"350","Ryan_Shealy","KC",77,240
"351","Ross_Gload","KC",72,185
"352","Esteban_German","KC",69,165
"353","Mark_Grudzielanek","KC",73,190
"354","Angel_Sanchez","KC",74,185
"355","Angel_Berroa","KC",72,175
"356","Andres_Blanco","KC",70,155
"357","Mark_Teahen","KC",75,210
"358","Joey_Gathright","KC",70,170
"359","David_DeJesus","KC",72,175
"360","Shane_Costa","KC",72,220
"361","Mitch_Maier","KC",74,210
"362","Reggie_Sanders","KC",73,205
"363","Emil_Brown","KC",74,200
"364","Mike_Sweeney","KC",75,225
"365","John_Bale","KC",76,205
"366","Luke_Hudson","KC",75,195
"367","Scott_Elarton","KC",80,240
"368","Odalis_Perez","KC",72,150
"369","Gil_Meche","KC",75,200
"370","Neal_Musser","KC",73,215
"371","Brian_Bannister","KC",74,202
"372","Zack_Greinke","KC",74,200
"373","Jorge_De_La_Rosa","KC",73,190
"374","Todd_Wellemeyer","KC",75,205
"375","Jimmy_Gobble","KC",75,190
"376","Joel_Peralta","KC",71,160
"377","Ryan_Braun","KC",73,215
"378","Joakim_Soria","KC",75,185
"379","Ken_Ray","KC",74,200
"380","David_Riske","KC",74,190
"381","Octavio_Dotel","KC",72,210
"382","Joe_Nelson","KC",74,185
"383","Gerald_Laird","TEX",74,220
"384","Miguel_Ojeda","TEX",74,190
"385","Guillermo_Quiroz","TEX",73,202
"386","Chris_Stewart","TEX",76,205
"387","Mark_Teixeira","TEX",75,220
"388","Ian_Kinsler","TEX",72,175
"389","Joaquin_Arias","TEX",73,160
"390","Michael_Young","TEX",73,190
"391","Hank_Blalock","TEX",73,200
"392","Marlon_Byrd","TEX",72,229
"393","Brad_Wilkerson","TEX",72,206
"394","Sammy_Sosa","TEX",72,220
"395","Kenny_Lofton","TEX",72,180
"396","Frank_Catalanotto","TEX",71,195
"397","Nelson_Cruz","TEX",75,175
"398","Jason_Botts","TEX",77,250
"399","Robinson_Tejeda","TEX",75,188
"400","John_Rheinecker","TEX",74,230
"401","Edinson_Volquez","TEX",73,190
"402","A.J._Murray","TEX",75,200
"403","Brandon_McCarthy","TEX",79,190
"404","Vicente_Padilla","TEX",74,219
"405","Kevin_Millwood","TEX",76,235
"406","John_Koronka","TEX",73,180
"407","Frank_Francisco","TEX",74,180
"408","Francisco_Cruceta","TEX",74,180
"409","Akinori_Otsuka","TEX",72,200
"410","Eric_Gagne","TEX",74,234
"411","Ron_Mahay","TEX",74,185
"412","Joaquin_Benoit","TEX",75,220
"413","Rick_Bauer","TEX",78,223
"414","Josh_Rupe","TEX",74,200
"415","Wes_Littleton","TEX",74,210
"416","C.J._Wilson","TEX",74,200
"417","Scott_Feldman","TEX",77,210
"418","Gregg_Zaun","TOR",70,190
"419","Jason_Phillips","TOR",73,177
"420","Lyle_Overbay","TOR",74,227
"421","Russ_Adams","TOR",73,180
"422","Aaron_Hill","TOR",71,195
"423","Jason_Smith","TOR",75,199
"424","John_McDonald","TOR",71,175
"425","Royce_Clayton","TOR",72,185
"426","Troy_Glaus","TOR",77,240
"427","John_Hattig","TOR",74,210
"428","Reed_Johnson","TOR",70,180
"429","Alex_Rios","TOR",77,194
"430","Vernon_Wells","TOR",73,225
"431","Frank_Thomas","TOR",77,275
"432","Adam_Lind","TOR",74,195
"433","Shaun_Marcum","TOR",72,180
"434","Casey_Janssen","TOR",76,205
"435","Gustavo_Chacin","TOR",71,193
"436","A.J._Burnett","TOR",76,230
"437","Roy_Halladay","TOR",78,230
"438","John_Thomson","TOR",75,220
"439","Tomo_Ohka","TOR",73,200
"440","B.J._Ryan","TOR",78,249
"441","Scott_Downs","TOR",74,190
"442","Brian_Tallet","TOR",79,208
"443","Matt_Roney","TOR",75,245
"444","Tracy_Thorpe","TOR",76,250
"445","Jean_Machi","TOR",72,160
"446","Brandon_League","TOR",75,192
"447","Dustin_McGowan","TOR",75,220
"448","Jason_Frasor","TOR",70,170
"449","Francisco_Rosario","TOR",72,197
"450","Davis_Romero","TOR",70,155
"451","Jeremy_Accardo","TOR",74,190
"452","Mike_Redmond","MIN",71,200
"453","Joe_Mauer","MIN",76,220
"454","Chris_Heintz","MIN",73,210
"455","Justin_Morneau","MIN",76,228
"456","Luis_Castillo","MIN",71,190
"457","Alexi_Casilla","MIN",69,160
"458","Alejandro_Machado","MIN",72,184
"459","Jason_Bartlett","MIN",72,180
"460","Luis_Rodriguez","MIN",69,180
"461","Jeff_Cirillo","MIN",73,200
"462","Nick_Punto","MIN",69,176
"463","Jason_Tyner","MIN",73,160
"464","Michael_Cuddyer","MIN",74,222
"465","Torii_Hunter","MIN",74,211
"466","Lew_Ford","MIN",72,195
"467","Jason_Kubel","MIN",71,200
"468","Josh_Rabe","MIN",74,210
"469","Rondell_White","MIN",73,225
"470","Ramon_Ortiz","MIN",72,175
"471","Johan_Santana","MIN",72,206
"472","Carlos_Silva","MIN",76,240
"473","Matt_Garza","MIN",76,185
"474","Boof_Bonser","MIN",76,260
"475","Francisco_Liriano","MIN",74,185
"476","Scott_Baker","MIN",76,221
"477","Pat_Neshek","MIN",75,205
"478","Glen_Perkins","MIN",71,200
"479","Julio_DePaula","MIN",72,170
"480","Juan_Rincon","MIN",71,201
"481","Jesse_Crain","MIN",73,205
"482","Matt_Guerrier","MIN",75,185
"483","Joe_Nathan","MIN",76,205
"484","Dennys_Reyes","MIN",75,245
"485","Brayan_Pe?a","ATL",71,220
"486","Brian_McCann","ATL",75,210
"487","Craig_Wilson","ATL",74,220
"488","Chris_Woodward","ATL",72,185
"489","Pete_Orr","ATL",73,175
"490","Martin_Prado","ATL",73,170
"491","Tony_Pe?a","ATL",73,180
"492","Edgar_Renteria","ATL",73,200
"493","Chipper_Jones","ATL",76,210
"494","Willy_Aybar","ATL",72,175
"495","Jeff_Francoeur","ATL",76,220
"496","Matt_Diaz","ATL",73,206
"497","Kelly_Johnson","ATL",73,180
"498","Andruw_Jones","ATL",73,210
"499","Ryan_Langerhans","ATL",75,195
"500","Scott_Thorman","ATL",75,200
"501","T.J._Bohn","ATL",77,200
"502","Tim_Hudson","ATL",73,164
"503","Jonathan_Johnson","ATL",72,180
"504","John_Smoltz","ATL",75,220
"505","Mike_Hampton","ATL",70,195
"506","Kyle_Davies","ATL",74,205
"507","Chuck_James","ATL",72,170
"508","Phil_Stockman","ATL",80,240
"509","Macay_McBride","ATL",71,210
"510","Joey_Devine","ATL",71,195
"511","Peter_Moylan","ATL",74,200
"512","Mike_Gonzalez","ATL",74,205
"513","Lance_Cormier","ATL",73,192
"514","Blaine_Boyer","ATL",75,190
"515","Manny_Acosta","ATL",76,170
"516","Bob_Wickman","ATL",73,240
"517","Tanyon_Sturtze","ATL",77,200
"518","Oscar_Villarreal","ATL",72,205
"519","Rafael_Soriano","ATL",73,175
"520","Chad_Paronto","ATL",77,250
"521","Tyler_Yates","ATL",76,220
"522","Henry_Blanco","CHC",71,224
"523","Michael_Barrett","CHC",75,210
"524","Geovany_Soto","CHC",73,195
"525","Scott_Moore","CHC",74,180
"526","Derrek_Lee","CHC",77,245
"527","Ryan_Theriot","CHC",71,175
"528","Ronny_Cedeno","CHC",72,180
"529","Aramis_Ramirez","CHC",73,215
"530","Cesar_Izturis","CHC",69,175
"531","Alfonso_Soriano","CHC",73,180
"532","Jacque_Jones","CHC",70,195
"533","Daryle_Ward","CHC",74,230
"534","Cliff_Floyd","CHC",76,230
"535","Mark_DeRosa","CHC",73,205
"536","Matt_Murton","CHC",73,215
"537","Buck_Coats","CHC",75,195
"538","Angel_Pagan","CHC",73,180
"539","Sean_Marshall","CHC",79,205
"540","Carlos_Marmol","CHC",74,180
"541","Ryan_O'Malley","CHC",73,190
"542","Juan_Mateo","CHC",74,180
"543","Rich_Hill","CHC",77,190
"544","Angel_Guzman","CHC",75,190
"545","Wade_Miller","CHC",74,220
"546","Jason_Marquis","CHC",73,210
"547","Carlos_Zambrano","CHC",77,255
"548","Ted_Lilly","CHC",73,190
"549","Mark_Prior","CHC",77,230
"550","Neal_Cotts","CHC",74,200
"551","Will_Ohman","CHC",74,205
"552","Scott_Eyre","CHC",73,210
"553","Kerry_Wood","CHC",77,225
"554","Ryan_Dempster","CHC",74,215
"555","Bob_Howry","CHC",77,220
"556","Mike_Wuertz","CHC",75,205
"557","Roberto_Novoa","CHC",77,200
"558","Chris_Snyder","ARZ",75,220
"559","Miguel_Montero","ARZ",71,197
"560","Conor_Jackson","ARZ",74,225
"561","Robby_Hammock","ARZ",70,187
"562","Tony_Clark","ARZ",79,245
"563","Orlando_Hudson","ARZ",72,185
"564","Stephen_Drew","ARZ",72,185
"565","Alberto_Callaspo","ARZ",70,175
"566","Chad_Tracy","ARZ",74,200
"567","Chris_Young","ARZ",74,180
"568","Scott_Hairston","ARZ",72,188
"569","Carlos_Quentin","ARZ",73,225
"570","Jeff_DaVanon","ARZ",72,200
"571","Eric_Byrnes","ARZ",74,210
"572","Livan_Hernandez","ARZ",74,245
"573","Doug_Davis","ARZ",76,213
"574","Randy_Johnson","ARZ",82,231
"575","Juan_Cruz","ARZ",74,165
"576","Brandon_Webb","ARZ",74,228
"577","Enrique_Gonzalez","ARZ",70,210
"578","Dana_Eveland","ARZ",73,250
"579","Brandon_Medders","ARZ",73,191
"580","Tony_Pe?a","ARZ",74,190
"581","Doug_Slaten","ARZ",77,200
"582","Edgar_Gonzalez","ARZ",72,215
"583","Jose_Valverde","ARZ",76,254
"584","Jorge_Julio","ARZ",73,232
"585","Brandon_Lyon","ARZ",73,180
"586","Miguel_Olivo","FLA",72,215
"587","Matt_Treanor","FLA",74,220
"588","Mike_Jacobs","FLA",74,180
"589","Dan_Uggla","FLA",71,200
"590","Robert_Andino","FLA",72,170
"591","Hanley_Ramirez","FLA",75,195
"592","Miguel_Cabrera","FLA",74,210
"593","Aaron_Boone","FLA",74,200
"594","Joe_Borchard","FLA",77,220
"595","Alfredo_Amezaga","FLA",70,165
"596","Cody_Ross","FLA",71,180
"597","Josh_Willingham","FLA",73,200
"598","Jeremy_Hermida","FLA",76,200
"599","Eric_Reed","FLA",71,170
"600","Reggi_Abercrombie","FLA",75,224
"601","Ricky_Nolasco","FLA",74,220
"602","Anibal_Sanchez","FLA",72,180
"603","Scott_Olsen","FLA",76,198
"604","Josh_Johnson","FLA",79,240
"605","Dontrelle_Willis","FLA",76,239
"606","Logan_Kensing","FLA",73,185
"607","Sergio_Mitre","FLA",76,210
"608","Kevin_Gregg","FLA",78,220
"609","Travis_Bowyer","FLA",75,200
"610","Renyel_Pinto","FLA",76,195
"611","Randy_Messenger","FLA",72,220
"612","Yusmeiro_Petit","FLA",72,230
"613","Carlos_Martinez","FLA",73,170
"614","Taylor_Tankersley","FLA",73,220
"615","Henry_Owens","FLA",75,230
"616","Jose_Garcia","FLA",71,165
"617","Matt_Lindstrom","FLA",76,205
"618","Javier_Valentin","CIN",70,192
"619","Chad_Moeller","CIN",75,210
"620","David_Ross","CIN",74,205
"621","Joey_Votto","CIN",75,200
"622","Scott_Hatteberg","CIN",73,210
"623","Brandon_Phillips","CIN",71,185
"624","Juan_Castro","CIN",71,195
"625","Alex_Gonzalez","CIN",72,202
"626","Mark_Bellhorn","CIN",73,205
"627","Edwin_Encarnacion","CIN",73,195
"628","Jeff_Keppinger","CIN",72,180
"629","Norris_Hopper","CIN",69,200
"630","Chris_Denorfia","CIN",73,185
"631","Adam_Dunn","CIN",78,240
"632","Bubba_Crosby","CIN",71,185
"633","Jeff_Conine","CIN",73,220
"634","Ken_Griffey_Jr.","CIN",75,205
"635","Josh_Hamilton","CIN",76,205
"636","Ryan_Freel","CIN",70,180
"637","Kyle_Lohse","CIN",74,201
"638","Bronson_Arroyo","CIN",77,190
"639","Eric_Milton","CIN",75,208
"640","Aaron_Harang","CIN",79,240
"641","Elizardo_Ramirez","CIN",72,180
"642","Todd_Coffey","CIN",77,230
"643","Brian_Shackelford","CIN",73,195
"644","Bill_Bray","CIN",75,215
"645","Bobby_Livingston","CIN",75,190
"646","Matt_Belisle","CIN",75,195
"647","Gary_Majewski","CIN",73,215
"648","Mike_Stanton","CIN",73,215
"649","Brad_Salmon","CIN",76,220
"650","Jared_Burton","CIN",77,220
"651","David_Weathers","CIN",75,230
"652","Rheal_Cormier","CIN",70,195
"653","Yorvit_Torrealba","COL",71,190
"654","Chris_Iannetta","COL",71,195
"655","Alvin_Colina","COL",75,209
"656","Todd_Helton","COL",74,204
"657","Jamey_Carroll","COL",69,170
"658","Kaz_Matsui","COL",70,185
"659","Troy_Tulowitzki","COL",75,205
"660","Clint_Barmes","COL",72,175
"661","Garrett_Atkins","COL",75,210
"662","Ryan_Spilborghs","COL",73,190
"663","Cory_Sullivan","COL",72,180
"664","Jeff_Salazar","COL",72,180
"665","Willy_Taveras","COL",72,160
"666","Matt_Holliday","COL",76,235
"667","Brad_Hawpe","COL",75,200
"668","Jeff_Baker","COL",74,210
"669","Javy_Lopez","COL",75,224
"670","Byung-Hyun_Kim","COL",69,180
"671","Rodrigo_Lopez","COL",73,190
"672","Brian_Lawrence","COL",72,197
"673","Josh_Fogg","COL",72,203
"674","Aaron_Cook","COL",75,205
"675","Denny_Bautista","COL",77,170
"676","Ubaldo_Jimenez","COL",76,200
"677","Jason_Hirsh","COL",80,250
"678","Jeff_Francis","COL",77,200
"679","Taylor_Buchholz","COL",76,220
"680","Ryan_Speier","COL",79,200
"681","Ramon_Ramirez","COL",71,190
"682","Manny_Corpas","COL",75,170
"683","Juan_Morillo","COL",73,190
"684","Brian_Fuentes","COL",76,220
"685","LaTroy_Hawkins","COL",77,215
"686","Tom_Martin","COL",73,206
"687","Jeremy_Affeldt","COL",76,215
"688","Paul_Lo_Duca","NYM",70,185
